00100000,func_00100000
00100008,_start
00100280,InitObjectVtables_100280
001002C0,InitObjectVtableAndRegister_1002C0
00100318,NoOp_100318
00100320,ReturnOne_100320
00100328,GetOrInitSingleton_100328
00100378,func_00100378
001004C8,IsTargetVisibleOrForced_1004C8
00100508,InitVtableAndForwardSetup_100508
00100530,func_00100530
00100870,func_00100870
00100CE0,func_00100CE0
00100ED8,pl01__SetParent
00100FB8,func_00100FB8
00101E28,Tramp_001F7DF8_00101E28
00101E48,GetOrInitSingletonAlt_101E48
00101E98,Forward100FB8_101E98
00101EB8,func_00101EB8
001020F0,func_001020F0
00102128,InitAltVtableAndSetup_102128
00102150,func_00102150
00102418,func_00102418
00102728,func_00102728
001027D8,func_001027D8
00102938,func_00102938
00102A80,func_00102A80
00102BD8,UpdateAttackMoveState_102BD8
00102CB0,func_00102CB0
00102DE8,func_00102DE8
00102EE0,ForwardAndSyncPosition_102EE0
00102FE8,UpdateAttackMovePhase_102FE8
001030C8,func_001030C8
00103170,func_00103170
001032C8,func_001032C8
00103370,func_00103370
001034E0,func_001034E0
00103760,func_00103760
00103880,GetOrInitSubSingleton_103880
001067B8,func_001067B8
00106BF8,func_00106BF8
00107360,func_00107360
00107C68,func_00107C68
00107DE0,ResetGlobalStateFields_107DE0
00107E20,Forward107DE0_107E20
00107E40,func_00107E40
00107EC8,InitActorWithVtable_107EC8
00107F20,func_00107F20
00107F58,func_00107F58
00108AB0,func_00108AB0
00109928,func_00109928
0010A2C8,func_0010A2C8
0010A408,Obj0000_Set_Fields_1668_1660_1670_1678_1680_10A408
0010A420,Obj0000_Set_Fields_166C_1664_1674_167C_Short_1682_10A420
0010A438,func_0010A438
0010B5B8,Obj0000_Get_Byte_2F4_EQ_1_10B5B8
0010B5C8,IsStateVal6_10B5C8
0010B5F0,IsStateByteIdle_10B5F0
0010B620,IsStateVal3_10B620
0010B648,IsStateVal17_10B648
0010B670,IsByte2F5Eq7_WhenByte2F4Zero_10B670
0010B698,Obj0000_IsSet_Field_15F4_Bit_400000_10B698
0010B6B0,func_0010B6B0
0010B760,Tramp_func_0014EA50_0010B760
0010B780,UpdateBossPhase_10B780
0010B888,SetEnemyActiveState_10B888
0010B980,InitStateFields2F4_10B980
0010B9C0,func_0010B9C0
0010BCC0,pl00_CannonGameMode
0010BD08,Obj0000_Set_Bytes_2F4_2F7_2F5_2F6_10BD08
0010BD28,pl00_SetCannonDamage
0010BE10,SetField_2F4_10BE10
0010BE18,func_0010BE18
0010C300,func_0010C300
0010C5A8,func_0010C5A8
0010C930,func_0010C930
0010CB10,func_0010CB10
0010CC58,UpdateStatePhase2F6_10CC58
0010CD38,func_0010CD38
0010D0E0,func_0010D0E0
0010D3A8,func_0010D3A8
0010DE70,func_0010DE70
0010E230,func_0010E230
0010E5B8,func_0010E5B8
0010EBF8,func_0010EBF8
0010EE80,func_0010EE80
0010F1F0,func_0010F1F0
0010F4B8,func_0010F4B8
0010F720,func_0010F720
0010FE18,func_0010FE18
0010FF80,func_0010FF80
001101A8,func_001101A8
00110B20,func_00110B20
00110E98,func_00110E98
00111010,func_00111010
00111210,func_00111210
001114B0,func_001114B0
00111750,func_00111750
00111A20,func_00111A20
00111DD8,func_00111DD8
001120A8,func_001120A8
00112318,func_00112318
001125A0,func_001125A0
001127F8,func_001127F8
00112A48,func_00112A48
00112CB8,func_00112CB8
00113228,func_00113228
001134C8,func_001134C8
00113768,func_00113768
00113A20,func_00113A20
00113CF8,func_00113CF8
00113F68,func_00113F68
00114120,func_00114120
001142E0,func_001142E0
00114460,func_00114460
00114608,func_00114608
00114AC0,func_00114AC0
00114CB8,func_00114CB8
00114E28,func_00114E28
00115030,func_00115030
00115310,func_00115310
001156D8,func_001156D8
001158E8,func_001158E8
00115C00,func_00115C00
00115F60,func_00115F60
001160A0,func_001160A0
001161E0,UpdateAttackState2F6_1161E0
001162C0,func_001162C0
001169D8,func_001169D8
00116A88,func_00116A88
00117600,func_00117600
001177F8,func_001177F8
001179C8,func_001179C8
00117F78,func_00117F78
00118158,func_00118158
00118690,func_00118690
00118B68,func_00118B68
001191A0,func_001191A0
00119750,func_00119750
00119BF0,func_00119BF0
0011A060,func_0011A060
0011A2C0,func_0011A2C0
0011A530,func_0011A530
0011A660,func_0011A660
0011A820,func_0011A820
0011A8F8,func_0011A8F8
0011AAA0,func_0011AAA0
0011AC80,func_0011AC80
0011ADD8,func_0011ADD8
0011B280,func_0011B280
0011B3E8,func_0011B3E8
0011B5F8,func_0011B5F8
0011B900,func_0011B900
0011BAF8,func_0011BAF8
0011BF20,func_0011BF20
0011C348,func_0011C348
0011C608,func_0011C608
0011C988,func_0011C988
0011CEE8,func_0011CEE8
0011D198,func_0011D198
0011D4B0,func_0011D4B0
0011DA30,func_0011DA30
0011DE30,func_0011DE30
0011E1E0,func_0011E1E0
0011E748,func_0011E748
0011ECB0,func_0011ECB0
0011F0D0,func_0011F0D0
0011F438,func_0011F438
0011F810,func_0011F810
0011FD10,func_0011FD10
001205D8,func_001205D8
001209A0,func_001209A0
00120BC0,func_00120BC0
00120E00,func_00120E00
001212D0,func_001212D0
001215C8,func_001215C8
00121798,func_00121798
00121AC0,func_00121AC0
00121E88,func_00121E88
00122140,func_00122140
001223F8,func_001223F8
001228D8,func_001228D8
00122A50,func_00122A50
00122C48,func_00122C48
00122D18,func_00122D18
00122E90,func_00122E90
00123160,func_00123160
001236E8,func_001236E8
00123908,func_00123908
00123938,func_00123938
00124540,func_00124540
00124C30,func_00124C30
00124E58,Obj0000_Clear_Fields_640_648_124E58
00124E68,InvokeVirtualAtField214AndForward_124E68
00124EC0,func_00124EC0
00124F60,ClearField15F4Bit1_124F60
00124FC8,pl00_ckMotionCam
00124FD8,func_00124FD8
00125048,func_00125048
00125F38,func_00125F38
00126770,func_00126770
001267F8,FreeFieldObject_1267F8
00126820,func_00126820
001268B0,SetFirstFreeSlot_Field_1644_1268B0
00126918,func_00126918
001269E0,func_001269E0
00129430,func_00129430
00129578,func_00129578
00129630,func_00129630
001299F0,func_001299F0
00129BA0,func_00129BA0
00129CC8,func_00129CC8
00129EB0,func_00129EB0
0012A108,func_0012A108
0012A2E0,func_0012A2E0
0012A3C0,func_0012A3C0
0012A610,func_0012A610
0012A8D8,func_0012A8D8
0012AC28,CallWithAndClearField698_12AC28
0012AC60,pl00_DiscardWeapon
0012AC98,func_0012AC98
0012AFE8,func_0012AFE8
0012B2E0,func_0012B2E0
0012B328,func_0012B328
0012B5C0,func_0012B5C0
0012B618,func_0012B618
0012B928,func_0012B928
0012B9F0,pl00_DiscardThrowObj
0012BAB8,pl00_CkSubScreen
0012BB38,func_0012BB38
0012BBE0,Tramp_func_0014EFA8_0012BBE0
0012BC00,func_0012BC00
0012BF50,pl00_ckAtkActBtnEnable
0012BFB8,func_0012BFB8
0012C000,func_0012C000
0012C0D8,Obj0000_Set_Bytes_2F4_2F5_2F6_2F7_12C0D8
0012C348,func_0012C348
0012C418,pl00_reset
0012C4F0,func_0012C4F0
0012C530,Obj0000_IsSet_Field_15F4_Bit_1000_12C530
0012C540,func_0012C540
0012C748,Obj0000_Get_Field_5FC_NE_Zero_12C748
0012C758,IsSpecialConditionMet_12C758
0012C7D0,func_0012C7D0
0012C8D8,pl00_setPaper
0012CA48,Obj0000_IsSet_Field_15F4_Bit_100000_12CA48
0012CAE0,func_0012CAE0
0012CC00,ClearLinkedTarget_12CC00
0012CC70,func_0012CC70
0012CD70,InitObjStateFlags_12CD70
0012CD90,pl00_setIgnition
0012CDD0,pl00_setPyramidIn
0012CDF0,StoreVec3Field_12CDF0
0012CE20,SetVecAndAction_12CE20
0012CE60,SetPositionMulti_12CE60
0012CED8,Obj0000_IsSet_Field_15F4_Bit_1000000_12CED8
0012CEF0,Obj0000_Get_Byte_15F4_Bit7_12CEF0
